従来手法の総ピクセル数,提案手法の総ピクセル数,従来手法の総ピクセル数-提案手法の総ピクセル数
27297,25163,2134
27104,24962,2142
26765,24651,2114
27270,25136,2134
26933,24825,2108
27084,24954,2130
27079,24944,2135
27183,25068,2115
26848,24730,2118
27129,24975,2154
26988,24846,2142
27148,24979,2169
27301,25173,2128
27368,25207,2161
27242,25096,2146
27413,25269,2144
27223,25093,2130
27108,24968,2140
27267,25143,2124
27316,25162,2154
27108,24953,2155
27351,25200,2151
27278,25104,2174
27025,24880,2145
27384,25285,2099
27285,25150,2135
27062,24922,2140
27388,25208,2180
27231,25060,2171
27237,25061,2176
27140,24967,2173
27304,25124,2180
27181,25011,2170
27602,25408,2194
27270,25083,2187
27324,25122,2202
27390,25240,2150
27576,25377,2199
27323,25122,2201
27376,25162,2214
27178,24952,2226
27224,24998,2226
27158,24948,2210
27334,25135,2199
27415,25201,2214
27620,25390,2230
27510,25265,2245
27233,25055,2178
27253,25079,2174
27530,25328,2202
27217,25020,2197
27465,25277,2188
27333,25173,2160
27438,25249,2189
27360,25203,2157
27539,25354,2185
27412,25238,2174
27366,25189,2177
27309,25123,2186
26983,24801,2182
27214,25055,2159
27293,25103,2190
27181,25008,2173
27188,25022,2166
27120,24955,2165
27349,25176,2173
27264,25097,2167
27374,25196,2178
27290,25095,2195
27345,25145,2200
27321,25127,2194
27086,24897,2189
27092,24925,2167
27273,25108,2165
27123,24959,2164
27040,24866,2174
26941,24759,2182
27079,24878,2201
27043,24846,2197
27148,24937,2211
26979,24778,2201
27121,24914,2207
27096,24908,2188
26762,24547,2215
26788,24585,2203
26932,24726,2206
26743,24546,2197
27166,24960,2206
27078,24863,2215
27218,24979,2239
27018,24810,2208
27112,24899,2213
26958,24745,2213
27207,24984,2223
27163,24953,2210
26731,24525,2206
26750,24553,2197
26959,24752,2207
26834,24625,2209
26888,24691,2197
26855,24676,2179
26881,24668,2213
26912,24711,2201
27221,25015,2206
27131,24961,2170
27606,25411,2195
27740,25646,2094
27656,25613,2043
26936,25082,1854
25524,23952,1572
24442,22976,1466
22923,21628,1295
21217,20115,1102
20654,19558,1096
19291,18077,1214
17839,16159,1680
17148,15381,1767
16106,13846,2260
14402,11368,3034
11824,8582,3242
10095,7457,2638
7073,4584,2489
5369,3194,2175
3221,1931,1290
1732,930,802
1349,643,706
333,62,271
113,46,67
49,17,32
0,0,0
0,0,0
17,17,0
0,0,0
44,17,27
34,17,17
69,22,47
56,22,34
43,43,0
29,29,0
34,34,0
0,0,0
17,17,0
17,17,0
0,0,0
0,0,0
0,0,0
17,17,0
17,17,0
17,17,0
17,17,0
0,0,0
17,17,0
0,0,0
49,49,0
232,63,169
334,118,216
2608,2435,173
5283,4758,525
5454,4510,944
7097,5546,1551
5847,4984,863
7150,6150,1000
6693,5589,1104
6197,4968,1229
4981,3889,1092
3881,2818,1063
3079,1988,1091
3571,2366,1205
2836,1635,1201
3280,2176,1104
2906,1858,1048
3589,2477,1112
3185,2068,1117
3370,2320,1050
3280,2044,1236
4045,2419,1626
4162,2297,1865
5661,3351,2310
6427,3781,2646
7547,4336,3211
8406,5025,3381
9375,6009,3366
9598,6167,3431
10940,7075,3865
12821,7920,4901
